Month,Salaries and Wages,Interest,Pension,Samurdhi,Other,Tax revenue,Non-tax revenue,Domestic Debt,Foreign Debt,Exchange Rate,Openness of economy,Unemployment Rate,NCPI,Inflation,Strikes,Crude oil prices,Population Structure,Monetary Policy,Natural Disasters,Easter attack
2015- Jan,41189,77776,11740,2960,30115,85438,4214,4511121,2982375,131.5508,1.827031725,4.7,112.8,3.9,1,47.11,81.744,1,0,0
2015- Feb,46512,25269,11738,2909,28433,84476,14113,4562251,3022250,132.7293,1.685770969,4.54,108.9,-3.5,3,54.79,81.74,1,0,0
2015- Mar,46558,40493,11934,2908,30407,87746,9568,4600292,3069367,132.899,1.480104859,4.45,107.6,-1.2,3,52.83,81.735,1,0,0
2015- Apr,47141,24915,12600,3660,23278,102955,6605,4638333,3116484,132.8993,2.078800558,4.5,107,-0.6,1,57.54,81.731,1,0,0
2015- May,47270,32633,12390,3660,34344,96459,10470,4689463,3156359,133.496,1.789301433,4.72,108,0.9,1,62.51,81.727,1,0,0
2015- Jun,42085,36932,13483,3514,20496,100504,3100,4766770,3181751,133.8952,1.775274958,4.98,109.1,1,0,61.31,81.722,1,0,0
2015- Jul,48861,89674,13129,3507,29699,105683,10145,4873114,3191615,133.686,1.636858393,5.1,108.9,-0.2,1,54.34,81.718,1,0,0
2015- Aug,49339,32927,14403,3500,30151,110531,5353,4970431,3209693,133.8829,1.899264431,4.97,108.4,-0.5,0,45.69,81.713,1,0,0
2015- Sep,45809,41716,13533,3412,24085,114447,7083,5010427,3265924,138.8769,1.855016409,4.69,108.4,0,1,46.28,81.709,1,1,0
2015- Oct,49802,31339,13638,3486,19697,118879,14258,4969092,3374731,140.8945,1.925825791,4.4,109.2,0.7,3,46.96,81.704,1,0,0
2015- Nov,49900,40037,13245,3476,40526,145163,7117,4919547,3488482,142.0248,1.747256679,4.22,112,2.6,3,43.11,81.699,1,1,0
2015- Dec,47264,35964,13487,3002,123708,203497,7073,4959196,3544031,143.4483,2.004509445,4.16,113.2,1.1,1,36.57,81.694,1,1,0
2016- Jan,44891,81025,13880,3464,25399,100583,8551,5112416,3526155,143.9403,1.768417538,4.2,112,-1.1,1,29.78,81.689,1,1,0
2016- Feb,47160,30536,13294,3445,26623,112953,6209,5196403,3536196,143.9284,1.614288919,4.33,110.8,-1.1,2,31.03,81.684,0,0,0
2016- Mar,47188,42753,13717,3436,29698,111867,5450,5261552,3505110,143.9594,1.650158061,4.48,110,-0.7,1,37.34,81.678,0,0,0
2016- Apr,49365,42362,15117,3472,22872,115808,11268,5313884,3544200,143.9001,2.056447072,4.6,111.6,1.5,1,40.75,81.673,0,0,0
2016- May,47292,47690,14165,3336,28140,126813,10461,5346798,3584617,145.6502,2.037943853,4.63,113.7,1.9,1,45.94,81.667,0,1,0
2016- Jun,52791,45341,14474,3386,19225,116882,14991,5391140,3671072,145.2836,1.860759494,4.58,116.1,2.1,2,47.69,81.661,0,0,0
2016- Jul,42789,80726,14747,3393,29566,113836,8002,5460418,3921537,145.407,1.607178912,4.5,115.2,-0.8,3,44.13,81.655,0,0,0
2016- Aug,47464,44152,14136,3397,43581,133238,16483,5345892,3970677,145.601,1.903613067,4.4,113.3,-1.6,2,44.88,81.649,0,0,0
2016- Sep,47633,57158,14957,3366,25745,135337,30606,5331707,4069692,145.7849,1.679808442,4.3,113.5,0.2,4,45.04,81.643,0,0,0
2016- Oct,50138,35955,14500,3351,31423,132621,20703,5322355,3983955,146.8723,2.015789474,4.2,114.7,1.1,5,49.29,81.636,0,0,0
2016- Nov,49124,51101,14859,3343,28839,133134,21189,5328936,4021614,147.771,2.139187353,4.11,116.6,1.7,4,45.26,81.63,0,0,0
2016- Dec,50636,52095,14057,3351,46662,130617,68461,5341507,4045796,148.882,2.114202561,4.06,118,1.2,7,52.62,81.623,0,0,0
2017- Jan,48524,113615,14467,3337,22819,148149,7724,5524875,4066271,150.0946,2.080374696,4.1,119.3,1.1,1,53.59,81.616,0,0,0
2017- Feb,49374,37550,14856,3332,25554,125304,7645,5617634,4062286,150.8173,1.856648997,4.23,119.9,0.5,3,54.35,81.609,0,0,0
2017- Mar,49626,57869,14852,3321,25124,141628,5555,5659540,4076652,151.4275,1.79429833,4.4,119.5,-0.3,3,50.9,81.602,0,1,0
2017- Apr,49994,34465,15011,3321,39038,139213,13801,5624004,4089673,151.7595,2.018245879,4.5,121,1.3,3,52.16,81.595,0,1,0
2017- May,49332,51232,14848,3322,24515,143495,10038,5666264,4458245,152.3344,2.050285307,4.47,121.8,0.7,2,49.89,81.587,0,1,0
2017- Jun,46803,53913,15246,3314,29638,121178,12532,5666488,4497380,152.8307,1.560721159,4.35,123.4,1.3,5,46.17,81.58,0,0,0
2017- Jul,48979,119739,15337,3309,30523,131240,11230,5690647,4546473,153.666,1.567277384,4.2,122.4,-0.8,2,47.66,81.572,0,0,0
2017- Aug,49902,50247,15636,3304,39166,144741,8901,5659437,4626498,153.193,1.855786528,4.06,122.3,-0.1,1,49.94,81.565,0,0,0
2017- Sep,49405,56568,15578,3298,18620,145046,10729,5630870,4638270,152.8974,1.648565776,3.99,123.3,0.8,4,52.95,81.557,0,0,0
2017- Oct,49386,33699,15412,3292,33390,130333,12197,5636976,4672677,153.5262,1.770397704,4,124.8,1.2,0,54.92,81.549,0,0,0
2017- Nov,50174,63562,15502,3290,36426,156827,29339,5613774,4724994,153.6599,2.062280795,4.12,126.4,1.3,3,59.93,81.541,0,1,0
2017- Dec,47019,63107,14314,3267,58030,143024,31662,5594427,4718618,153.1506,2.009318293,4.31,126.6,0.2,4,61.19,81.532,0,1,0
2018- Jan,50979,96216,15176,3288,30467,141697,9205,5701267,4806264,153.8016,2.086699814,4.5,125.8,-0.6,10,66.23,81.524,0,0,0
2018- Feb,50275,67253,15700,3286,30328,149254,10619,5724466,4848183,154.8579,2.160096101,4.63,123.7,-1.7,2,63.46,81.515,0,0,0
2018- Mar,50896,57388,15512,3284,37482,134317,23975,5770908,4883190,155.7288,1.78613343,4.67,122.8,-0.7,2,64.17,81.507,0,0,0
2018- Apr,58084,50688,16441,3284,29939,145203,8110,5784661,5304689,156.1354,2.255816878,4.6,122.9,0.1,2,68.79,81.498,1,0,0
2018- May,52899,62403,15701,3281,24678,142833,13729,5827041,5286268,157.8994,2.010175363,4.41,124.3,1.1,5,73.43,81.489,1,1,0
2018- Jun,53350,57520,16178,3280,20368,131987,9848,5791845,5202603,159.0711,1.776161656,4.2,126.5,1.8,5,71.98,81.48,1,1,0
2018- Jul,54515,117309,16453,3268,31652,137970,21202,5737653,5221313,159.3375,1.634830414,4.1,126.6,0.1,1,72.67,81.471,1,1,0
2018- Aug,54273,59684,16440,3257,32079,150424,11876,5776338,5275668,160.3539,1.819066898,4.2,125.4,-0.9,7,71.08,81.462,1,1,0
2018- Sep,44599,98764,16563,3251,30031,144488,30089,5802289,5469099,164.4153,1.675890826,4.4,124.4,-0.8,4,75.36,81.452,1,0,0
2018- Oct,52876,54006,16540,3269,46037,148696,24380,5898955,5768354,171.2249,1.922684098,4.6,124.9,0.4,3,76.73,81.443,1,1,0
2018- Nov,55201,88027,17006,3261,37063,160590,19743,5949185,5910460,176.8496,1.801347489,4.69,127.7,2.2,4,62.32,81.434,0,1,0
2018- Dec,48099,42932,16785,3231,27623,124860,24882,6017992,5959547,180.098,1.678536869,4.71,127.1,-0.5,5,53.96,81.424,0,1,0
2019- Jan,54008,109387,17104,3254,29242,139558,10364,6202902,5736792,182.1277,1.594740391,4.7,127.3,0.2,6,56.58,81.415,0,1,0
2019- Feb,54702,49396,18658,3252,40072,141586,12068,6263240,5739287,178.7331,1.459993884,4.72,126.7,-0.5,3,61.13,81.406,0,0,0
2019- Mar,55211,81837,18975,3251,37664,125397,13234,6240763,6030553,178.4298,1.520802181,4.79,126.4,-0.2,2,63.79,81.396,0,0,0
2019- Apr,54521,56440,19282,3246,41034,144989,10920,6209975,5908742,174.8012,1.999248215,4.9,127.3,0.7,2,68.58,81.387,0,0,1
2019- May,55063,98813,13475,3241,37670,153450,19198,6291523,5869671,176.4447,1.856087409,5.05,128.7,1.1,1,66.83,81.378,1,0,1
2019- Jun,56910,58776,18647,3237,23910,106657,10583,6360288,6239555,176.5889,1.291328413,5.15,129.2,0.4,5,59.76,81.368,1,0,1
2019- Jul,57758,106902,18181,3232,37377,132798,11142,6453102,6192790,175.9902,1.718477717,5.1,129.4,0.2,4,61.48,81.359,1,0,1
2019- Aug,58277,38061,19189,4324,36955,160967,12125,6523555,6339927,177.9705,1.524067797,4.84,129.7,0.2,3,57.67,81.35,1,0,1
2019- Sep,59669,109920,20229,4429,35079,195372,13204,6585658,6345790,180.7752,1.793352904,4.56,130.6,0.7,14,60.04,81.341,1,1,1
2019- Oct,59474,55043,20570,4392,42075,149247,13598,6557320,6393232,181.4511,1.857873734,4.5,131.9,1,3,57.27,81.332,1,1,1
2019- Nov,59235,82866,21684,4436,34368,162981,10272,6548529,6357128,180.3729,1.778810789,4.81,132.9,0.8,2,60.4,81.323,1,0,1
2019- Dec,61624,53911,21675,4366,45576,121922,19266,6629104,6402439,181.2539,1.784378438,5.3,135,1.6,2,63.35,81.315,1,1,1
2020- Jan ,62045,90078,20946,4403,35180,128140,10457,6795551,6404937,181.4036,1.726838491,5.7,137,1.5,2,61.63,81.306,1,1,1
2020- Feb,62524,53284,20447,4396,33979,139246,39857,6828200,6388082,181.5628,1.58063537,5.8,137,0,1,53.35,81.298,1,1,1
2020- Mar,65166,119788,38124,4393,33204,73950,13624,7123109,6646313,185.0567,1.835770871,5.66,135.2,-1.3,2,32.2,81.289,1,0,1
